track_id,track_name,artist_name,year,genre,tempo,popularity,acousticness,danceability,energy,loudness
7AUHZBFJ5c7fiLhl0I9r5S,First Light,Xavier Wulf,2022,rap,175.913,74,0.0509,0.654,0.822,-6.065
3SsJ17EnPIu1B4GZshqjIS,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Metro Boomin,2022,rap,177.977,75,0.112,0.491,0.77,-6.018
5XUuldRjPXcP5QxyEN4IXT,Voices In My Head,Falling In Reverse,2022,rap,173.17,76,0.0266,0.546,0.898,-3.067
4hTej08FutmriOs7S1hWWy,Conceited,SZA,2022,rap,150.046,74,0.0486,0.791,0.458,-8.236
2FWeNvUo79OeiHWoR1bUsO,Put It On Me,YoungBoy Never Broke Again,2022,rap,164.205,71,0.0331,0.665,0.666,-7.009
42tD9J0KCPFSc1d2hFTvAf,NOSTYLIST,Destroy Lonely,2022,rap,160.08,74,0.0396,0.567,0.773,-5.166
6jdwbcH788txYS6Doy1F1j,Step Back!,"1nonly, SXMPRA",2022,rap,127.996,80,0.185,0.783,0.89,-5.995
74NI58MQexwZjNu1Gu6GjT,Far,SZA,2022,rap,115.915,73,0.672,0.612,0.549,-7.401
4XJRpBOG0bU3Nxnvam3FnC,LOVE YOU BETTER,Future,2022,rap,75.494,74,0.478,0.709,0.357,-9.289
4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),Yung Gravy,2022,rap,102.004,75,0.00524,0.723,0.772,-6.784
28qA8y1sz0FTuSapsCxNOG,Father Time (feat. Sampha),Kendrick Lamar,2022,rap,152.869,75,0.181,0.514,0.779,-4.365
4wRJHXHDJnKSPr9IVn0BFR,To The Bone (feat. YoungBoy Never Broke Again),"Quavo, Takeoff",2022,rap,149.973,73,0.0395,0.899,0.582,-7.275
5gUiTylvifZnUrynE4FFPu,By Your Side,Rod Wave,2022,rap,157.975,71,0.0345,0.649,0.508,-10.232
3lzUeaCbcCDB5IXYfqWRlF,Silent Hill,Kendrick Lamar,2022,rap,140.07,73,0.438,0.907,0.577,-6.737
0HrWshW3SuFJ6nKS9ba9Mh,Vette Motors,YoungBoy Never Broke Again,2022,rap,155.103,70,0.0298,0.83,0.644,-5.431
7ohROa13QK43JBRqfCmz4P,What Happened To Virgil (feat. Gunna),Lil Durk,2022,rap,140.037,73,0.067,0.795,0.526,-9.086
0VOMBffX1llDu37yQUt3u3,Pop Out (feat. Nardo Wick),Lil Baby,2022,rap,157.947,72,0.00248,0.474,0.576,-6.963
1UsQe17Ef7tV1ahFqHEFR3,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Metro Boomin,2022,rap,161.571,73,0.131,0.521,0.526,-8.691
7FlQk2gJ6TBrHHiidvdR2O,MAMIII,Becky G,2022,rap,94.048,81,0.0845,0.836,0.703,-3.554
5hHvFrMnwic82WwRLr4WY0,Her,Megan Thee Stallion,2022,rap,119.918,71,0.374,0.945,0.848,-4.76
2WrldKXSBVbNNm3A9vJryi,Dance Now (feat. Kenny Mason),JID,2022,rap,135.0,74,0.0919,0.786,0.475,-10.902
4OkFBMU18NidtaefaTjUq1,Real Spill,Lil Baby,2022,rap,156.978,73,0.0496,0.776,0.557,-7.441
4a1fh9vJMMoRjNrBmEWoM0,All The Money (with Gunna) [Bonus],Metro Boomin,2022,rap,111.981,73,0.053,0.837,0.58,-6.932
0ypjMI7vHiDP4sLB1C0Qna,Talk,Yeat,2022,rap,139.998,73,0.0845,0.698,0.763,-4.718
2BJWxD8xKrDv8vneTvTIm9,Beat the Odds,Lil Tjay,2022,rap,84.821,74,0.054,0.498,0.625,-7.452
2UQ2oUbHiB8wWYCE42JX0k,My All,Polo G,2022,rap,156.104,71,0.0393,0.493,0.613,-6.636
5aO9gzffBoElavmuQKDxgB,Systëm,Yeat,2022,rap,150.121,72,0.183,0.72,0.671,-6.195
3GdWfmQBiiJrDUvSZS1bGv,Never Sleep (with Lil Baby feat. Travis Scott),"NAV, Lil Baby",2022,rap,139.957,73,0.00639,0.819,0.651,-5.829
1nltpRhEiXikwDlVn4UADk,One Right Now (with The Weeknd),Post Malone,2022,rap,97.023,76,0.0363,0.682,0.764,-5.411
1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,"Becky G, KAROL G",2022,rap,93.991,81,0.0934,0.843,0.7,-3.563
3LkWdvgrJtFuM0ZoXKPlpH,"LOCK IT UP (feat. Yeat, midwxst & Matt Ox)",Whethan,2022,rap,122.978,73,0.0114,0.741,0.787,-3.653
32vE1nuG8T9c8bhmZdRY6d,Cooped Up (with Roddy Ricch),Post Malone,2022,rap,93.923,75,0.038,0.669,0.773,-5.619
2A0G0bPmlkUXUbvWqrAXzg,Not Finished,Lil Baby,2022,rap,142.007,72,0.0123,0.785,0.524,-7.004
4ZUpTMKPYFTfJqamWFU9Zv,IDGAF (with blackbear),BoyWithUke,2022,rap,97.975,75,0.427,0.782,0.728,-5.93
1HvTxgCj0mTzQlEo0zLvFb,In My Head,Lil Tjay,2022,rap,143.049,76,0.159,0.684,0.545,-6.885
2E4INiVkDRBXXkFL4kB1Vk,highway 95,Baby Keem,2022,rap,84.944,72,0.0548,0.77,0.836,-5.322
2UbMJbQq6G0TJnmnubgolV,Genesis,$uicideboy$,2022,rap,200.211,70,0.0109,0.55,0.762,-7.861
60PTOzcoFycWBICdumIsFQ,FOR FUN,Lil Uzi Vert,2022,rap,134.028,68,0.157,0.775,0.461,-6.594
3IPGG5Niex4hGlXFOYWzp9,Don't Play That,King Von,2022,rap,129.988,70,0.0748,0.947,0.605,-8.621
1oc92BMKYkNxK17C2GtyRM,Distraction,Polo G,2022,rap,156.934,71,0.16,0.713,0.689,-5.99
1UsvO5U72YRU8Xnq8Lp14O,Champagne Face,"$uicideboy$, Germ",2022,rap,144.077,71,0.0231,0.894,0.767,-4.695
5ie5OPdaP9fivYaKcjwKF1,Alone,Rod Wave,2022,rap,82.07,69,0.703,0.596,0.545,-6.911
6Ve9MNsl8OFg6rHd227bYh,Anxiety,Megan Thee Stallion,2022,rap,126.989,70,0.233,0.951,0.766,-4.65
6r9xnueU24r4eoG3HXC87E,Bestie,"DaBaby, YoungBoy Never Broke Again",2022,rap,146.031,71,0.0741,0.807,0.625,-6.67
7L93GESzq43UkKUt5FsOCq,Jump Around - 30 Years Remaster,House Of Pain,2022,rap,106.929,75,0.0553,0.811,0.823,-5.921
2gkVweydDn7MmHmqXAlEzk,Fucking Your Culture,$uicideboy$,2022,rap,87.507,70,0.0146,0.752,0.807,-4.386
1Py8c3dkLF0YczcAyBFBEM,Never Hating (feat. Young Thug),Lil Baby,2022,rap,102.929,72,0.0016,0.879,0.504,-8.284
2yjlYDiNiQkdxVqTlaSrlX,Super Freaky Girl,Nicki Minaj,2022,rap,133.014,75,0.0509,0.951,0.878,-2.565
0qjoeS8gwEFqf0ju66ledI,Sweet Little Lies,Rod Wave,2022,rap,159.978,68,0.014,0.656,0.679,-8.594
3084aAzars6DR26nCWO9Ep,Quickie,Moneybagg Yo,2022,rap,137.921,72,0.0901,0.87,0.506,-9.415
1X8E4vVoOM3BpSQlEDSjjM,Burn,Juice WRLD,2022,rap,114.975,71,0.149,0.354,0.475,-9.333
4dWY6RpM9zmYvwqxrNvwtV,Tocame,La Santa Grifa,2022,rap,99.803,78,0.198,0.647,0.367,-14.356
28niVl6iodHnHpE1bCeJiV,Freestyle 2,Ken Carson,2022,rap,95.921,70,0.00402,0.636,0.705,-7.774
4gKWtJGlhxKKSyV65llt2G,OOGA BOOGA!,Ski Mask The Slump God,2022,rap,104.018,71,0.101,0.847,0.916,-5.757
1a7tOEheXeaSNathZW4Gzk,Hanging With Wolves,Lil Durk,2022,rap,151.978,71,0.0168,0.823,0.636,-7.239
6Kfoo60npYPdvNxMPMiDpX,Wrapped Around Your Finger,Post Malone,2022,rap,119.966,73,0.0493,0.744,0.628,-5.435
5IcP1PPnleZ2kuwKDyfNC5,Forgiveless (feat. Ol' Dirty Bastard),SZA,2022,rap,79.852,71,0.366,0.668,0.769,-5.25
0Pq8CSHDXInMK8atOkWSAv,Rackz got më (feat. Gunna),Yeat,2022,rap,142.943,71,0.00439,0.788,0.603,-6.959
3EMp20j5E42MxfFbsEsIvD,Churchill Downs (feat. Drake),Jack Harlow,2022,rap,96.448,73,0.615,0.71,0.522,-9.102
2ib8fuTavdc48X6MjhE4Ft,ZOMBIFIED,Falling In Reverse,2022,rap,91.033,73,0.000141,0.544,0.911,-3.681
5no1uAP51SFQzZqITUxsfG,6000 Degrees (AH HA),$hyfromdatre,2022,rap,131.983,69,0.0365,0.918,0.517,-7.085
3M214U0mwSm041GsQR3nrO,Toxic,BoyWithUke,2022,rap,179.71,77,0.749,0.609,0.619,-5.677
5XFoaqV1Z8XaLJidchVWhh,love.,Kid Cudi,2022,rap,138.501,69,0.146,0.574,0.736,-4.743
6ws54n2IzyrIxxyzlG2bVJ,Right On,Lil Baby,2022,rap,165.991,71,0.0245,0.535,0.618,-5.668
2uuJs2nltcYFh9pkKP7bW4,Show Me,Joey Bada$$,2022,rap,176.153,73,0.222,0.599,0.646,-6.326
5eSRsILuZOdEz55igfg9qV,Break My Heart,Rod Wave,2022,rap,85.007,68,0.00792,0.722,0.483,-8.458
6iMWB9q0CylvnKEFr5xsLh,Fresh Prince Of Utah,YoungBoy Never Broke Again,2022,rap,174.488,68,0.00156,0.646,0.656,-7.804
7hby1Z5hyRU4pdQgCFcCC7,feelz,Lil Peep,2022,rap,147.626,70,0.0379,0.746,0.856,-6.278
2aCj4aX6TXFFUn5zTFRH4w,Big tonka (feat. Lil Uzi Vert),Yeat,2022,rap,130.082,70,0.00652,0.667,0.67,-7.081
5IXdkgrT4lb9sKIb8tbOQ3,Sick of U (with Oliver Tree),"BoyWithUke, Oliver Tree",2022,rap,92.554,74,0.277,0.676,0.814,-3.213
3HgmGFYiO8967EFji8CSdM,Dear Alcohol,Dax,2022,rap,129.979,71,0.258,0.817,0.501,-9.623
4Flfb4fGscN9kXPOduQLrv,Treacherous Twins,"Drake, 21 Savage",2022,rap,88.987,71,0.0782,0.746,0.517,-7.582
0g2Bbgy7P41pFjMWJuzsf4,STAYING ALIVE (feat. Drake & Lil Baby),"DJ Khaled, Drake, Lil Baby",2022,rap,129.953,72,0.068,0.718,0.461,-7.676
